date,open,high,low,close,volume,amount,code
2023-12-26,10.7332416,10.77796344,10.71088068,10.77796344,148737176,715555035.2,601398
2023-12-27,10.77796344,10.82268528,10.68851976,10.80032436,184318820,886215652.24,601398
2023-12-28,10.80032436,10.8450462,10.66615884,10.66615884,346516202,1664753044.26,601398
2023-12-29,10.68851976,10.7332416,10.66615884,10.68851976,180047763,861564197.38,601398
2024-01-02,10.68851976,10.80032436,10.66615884,10.71088068,207181111,995101442.25,601398
2024-01-03,10.71088068,10.8450462,10.68851976,10.82268528,248895427,1201719345.71,601398
2024-01-04,10.82268528,10.9568508,10.80032436,10.93448988,286567559,1396443521.13,601398
2024-01-05,10.93448988,11.04629448,10.86740712,10.88976804,286074720,1403610998.36,601398
2024-01-08,10.88976804,10.97921172,10.8450462,10.91212896,325225728,1588242673.12,601398
2024-01-09,10.91212896,10.93448988,10.80032436,10.91212896,225734456,1097994736.76,601398
2024-01-10,10.88976804,10.97921172,10.80032436,10.8450462,234243492,1138531555.13,601398
2024-01-11,10.82268528,10.8450462,10.66615884,10.68851976,330666851,1587950047.3,601398
2024-01-12,10.66615884,10.80032436,10.64379792,10.75560252,230066493,1105695049.23,601398
2024-01-15,10.7332416,10.86740712,10.71088068,10.86740712,181048290,874409886.8,601398
2024-01-16,10.82268528,10.9568508,10.82268528,10.93448988,248039913,1207827030.99,601398
2024-01-17,10.91212896,10.9568508,10.82268528,10.82268528,276631705,1349034065.55,601398
2024-01-18,10.80032436,10.91212896,10.55435424,10.8450462,523277295,2503424283.83,601398
2024-01-19,10.80032436,10.93448988,10.71088068,10.93448988,386721535,1875529373.06,601398
2024-01-22,10.88976804,11.04629448,10.86740712,10.93448988,442063513,2173336065.95,601398
2024-01-23,10.93448988,11.00157264,10.82268528,10.93448988,310748810,1515560674.06,601398
2024-01-24,10.9568508,11.13573816,10.91212896,11.11337724,334847464,1650534904.78,601398
2024-01-25,11.13573816,11.2922646,11.11337724,11.20282092,343758376,1721285076.56,601398
2024-01-26,11.20282092,11.42643012,11.15809908,11.38170828,389936754,1970826386.99,601398
2024-01-29,11.35934736,11.6276784,11.35934736,11.53823472,384404139,1981081369.23,601398
2024-01-30,11.49351288,11.58295656,11.38170828,11.47115196,291481662,1498554325.78,601398
2024-01-31,11.44879104,11.60531748,11.4040692,11.56059564,296385863,1525456799.32,601398
2024-02-01,11.5158738,11.6276784,11.47115196,11.49351288,299371509,1544401622.3,601398
2024-02-02,11.49351288,11.6276784,11.38170828,11.56059564,407597819,2103998355.72,601398
2024-02-05,11.56059564,11.8512876,11.53823472,11.82892668,615938832,3242203982.0,601398
2024-02-06,11.82892668,12.03017496,11.78420484,11.89600944,564913691,3006603607.53,601398
2024-02-07,11.87364852,11.87364852,11.35934736,11.69476116,775335496,4010563947.25,601398
2024-02-08,11.53823472,11.56059564,11.38170828,11.53823472,465369343,2383629315.55,601398
2024-02-19,11.53823472,11.80656576,11.4040692,11.78420484,479714386,2503180355.72,601398
